FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE,geometry,index_right,NOMBDEP,NOMBPROV,NOMBDIST,UBIGEO
19640223,43519,-17.29,-74.2,38,4.8,20223006,POINT (-74.2 -17.29),,,,,
19640224,183834,-3.37,-78.0,33,5.0,20223006,POINT (-78 -3.37),1348.0,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,010403
19640307,45104,-18.6,-70.4,112,4.9,20223006,POINT (-70.4 -18.6),,,,,
19640307,205328,-10.05,-78.895,37,4.7,20223006,POINT (-78.895 -10.05),,,,,
19640310,224854,-18.2,-70.64,138,4.9,20223006,POINT (-70.64 -18.2),,,,,
19640314,21402,-7.8,-75.4,33,4.7,20223006,POINT (-75.4 -7.8),567.0,LORETO,UCAYALI,CONTAMANA,160601
19640319,222904,-15.483,-72.98,117,5.1,20223006,POINT (-72.98 -15.483),1807.0,AREQUIPA,CONDESUYOS,CHICHAS,040604
19640322,70537,-5.642,-77.02,116,5.5,20223006,POINT (-77.02 -5.642),1371.0,LORETO,DATEM DEL MARAÑON,CAHUAPANAS,160702
19640322,175118,-14.196,-75.661,59,4.8,20223006,POINT (-75.661 -14.196),921.0,ICA,ICA,SANTIAGO,110111
19640324,63619,-5.4,-79.4,33,4.5,20223006,POINT (-79.4 -5.4),1530.0,PIURA,HUANCABAMBA,SONDOR,200307
19640326,52506,-5.137,-76.55,120,5.2,20223006,POINT (-76.55 -5.137),1371.0,LORETO,DATEM DEL MARAÑON,CAHUAPANAS,160702
19640401,42655,-2.835,-80.263,35,4.9,20223006,POINT (-80.263 -2.835),,,,,
19640403,134640,-8.714,-78.879,83,5.2,20223006,POINT (-78.879 -8.714),,,,,
19640408,160109,-16.27,-73.4,100,4.5,20223006,POINT (-73.4 -16.27),1660.0,AREQUIPA,CARAVELI,ATICO,040303
19640409,215441,-18.38,-71.08,21,5.4,20223006,POINT (-71.08 -18.38),,,,,
19640410,60911,-14.37,-75.7,68,4.6,20223006,POINT (-75.7 -14.37),917.0,ICA,ICA,OCUCAJE,110104
19640419,194132,-13.787,-75.138,86,4.9,20223006,POINT (-75.138 -13.787),1797.0,HUANCAVELICA,HUAYTARA,SANTIAGO DE CHOCORVOS,090613
19640425,114615,-15.69,-70.46,219,4.5,20223006,POINT (-70.46 -15.69),213.0,PUNO,SAN ROMAN,CABANILLAS,211103
19640425,133607,-15.59,-69.5,268,4.5,20223006,POINT (-69.5 -15.59),,,,,
19640428,193331,-17.3,-70.1,127,4.7,20223006,POINT (-70.1 -17.3),1574.0,TACNA,CANDARAVE,CANDARAVE,230201
19640429,40801,-3.408,-78.089,26,4.9,20223006,POINT (-78.089 -3.408),1348.0,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,010403
19640429,175948,-16.52,-72.2,88,4.9,20223006,POINT (-72.2 -16.52),67.0,AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,040121
19640504,192541,-14.3,-75.8,14,4.9,20223006,POINT (-75.8 -14.3),917.0,ICA,ICA,OCUCAJE,110104
19640505,32655,-18.66,-72.76,28,5.2,20223006,POINT (-72.76 -18.66),,,,,
19640509,200635,-5.79,-82.55,19,4.9,20223006,POINT (-82.55 -5.79),,,,,
19640514,113016,-15.56,-70.86,185,4.5,20223006,POINT (-70.86 -15.56),210.0,PUNO,LAMPA,SANTA LUCIA,210709
19640518,41505,-12.15,-73.53,81,4.8,20223006,POINT (-73.53 -12.15),299.0,JUNIN,SATIPO,RIO TAMBO,120608
19640523,164207,-16.3,-69.2,235,4.6,20223006,POINT (-69.2 -16.3),1673.0,PUNO,YUNGUYO,CUTURAPI,211304
19640528,124959,-13.404,-74.848,103,5.4,20223006,POINT (-74.848 -13.404),969.0,AYACUCHO,CANGALLO,PARAS,050205
19640531,195809,-9.466,-79.739,40,4.8,20223006,POINT (-79.739 -9.466),,,,,
19640603,74931,-5.19,-78.6,33,4.7,20223006,POINT (-78.6 -5.19),1346.0,AMAZONAS,BAGUA,IMAZA,010205
19640604,114603,-9.758,-76.306,121,5.7,20223006,POINT (-76.306 -9.758),533.0,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,100109
19640606,3252,-14.93,-72.1,108,4.6,20223006,POINT (-72.1 -14.93),1806.0,AREQUIPA,CONDESUYOS,CAYARANI,040603
19640606,34427,-8.51,-79.305,49,4.8,20223006,POINT (-79.305 -8.51),,,,,
19640609,153130,-4.77,-77.9,40,4.9,20223006,POINT (-77.9 -4.77),1124.0,AMAZONAS,CONDORCANQUI,NIEVA,010401
